"ANO","NIVEL","CODMUNRES","IDHM_A","IDHM_CA","IDHM_CA_M","IDHM_CA_F"
2015,"MUNICIPIO","4117800",NA,0.639,NA,NA
2015,"MUNICIPIO","4117909",NA,0.768,NA,NA
2015,"MUNICIPIO","4118006",NA,0.746,NA,NA
2015,"MUNICIPIO","4118105",NA,0.717,NA,NA
2015,"MUNICIPIO","4118204",NA,0.75,NA,NA
2015,"MUNICIPIO","4118303",NA,0.709,NA,NA
2015,"MUNICIPIO","4118402",NA,0.763,NA,NA
2015,"MUNICIPIO","4118451",NA,0.747,NA,NA
2015,"MUNICIPIO","4118501",NA,0.782,NA,NA
2015,"MUNICIPIO","4118600",NA,0.717,NA,NA
2015,"MUNICIPIO","4118709",NA,0.708,NA,NA
2015,"MUNICIPIO","4118808",NA,0.723,NA,NA
2015,"MUNICIPIO","4118857",NA,0.713,NA,NA
2015,"MUNICIPIO","4118907",NA,0.7,NA,NA
2015,"MUNICIPIO","4119004",NA,0.726,NA,NA
2015,"MUNICIPIO","4119103",NA,0.694,NA,NA
2015,"MUNICIPIO","4119152",NA,0.751,NA,NA
2015,"MUNICIPIO","4119251",NA,0.695,NA,NA
2015,"MUNICIPIO","4119202",NA,0.697,NA,NA
2015,"MUNICIPIO","4119301",NA,0.654,NA,NA
2015,"MUNICIPIO","4119400",NA,0.708,NA,NA
2015,"MUNICIPIO","4119509",NA,0.7,NA,NA
2015,"MUNICIPIO","4119608",NA,0.702,NA,NA
2015,"MUNICIPIO","4119657",NA,0.71,NA,NA
2015,"MUNICIPIO","4119707",NA,0.705,NA,NA
2015,"MUNICIPIO","4119806",NA,0.706,NA,NA
2015,"MUNICIPIO","4119905",NA,0.763,NA,NA
2015,"MUNICIPIO","4119954",NA,0.738,NA,NA
2015,"MUNICIPIO","4120002",NA,0.738,NA,NA
2015,"MUNICIPIO","4120101",NA,0.7,NA,NA
2015,"MUNICIPIO","4120150",NA,0.688,NA,NA
2015,"MUNICIPIO","4120200",NA,0.735,NA,NA
2015,"MUNICIPIO","4120309",NA,0.685,NA,NA
2015,"MUNICIPIO","4120333",NA,0.71,NA,NA
2015,"MUNICIPIO","4120358",NA,0.752,NA,NA
2015,"MUNICIPIO","4120408",NA,0.713,NA,NA
2015,"MUNICIPIO","4120507",NA,0.701,NA,NA
2015,"MUNICIPIO","4120606",NA,0.676,NA,NA
2015,"MUNICIPIO","4120655",NA,0.71,NA,NA
2015,"MUNICIPIO","4120705",NA,0.714,NA,NA
2015,"MUNICIPIO","4120804",NA,0.742,NA,NA
2015,"MUNICIPIO","4120853",NA,0.791,NA,NA
2015,"MUNICIPIO","4120903",NA,0.681,NA,NA
2015,"MUNICIPIO","4121000",NA,0.688,NA,NA
2015,"MUNICIPIO","4121109",NA,0.715,NA,NA
2015,"MUNICIPIO","4121208",NA,0.68,NA,NA
2015,"MUNICIPIO","4121257",NA,0.63,NA,NA
2015,"MUNICIPIO","4121307",NA,0.707,NA,NA
2015,"MUNICIPIO","4121356",NA,0.704,NA,NA
2015,"MUNICIPIO","4121406",NA,0.722,NA,NA
2015,"MUNICIPIO","4121505",NA,0.672,NA,NA
2015,"MUNICIPIO","4121604",NA,0.733,NA,NA
2015,"MUNICIPIO","4121703",NA,0.618,NA,NA
2015,"MUNICIPIO","4121752",NA,0.648,NA,NA
2015,"MUNICIPIO","4121802",NA,0.716,NA,NA
2015,"MUNICIPIO","4121901",NA,0.701,NA,NA
2015,"MUNICIPIO","4122008",NA,0.687,NA,NA
2015,"MUNICIPIO","4122107",NA,0.729,NA,NA
2015,"MUNICIPIO","4122156",NA,0.629,NA,NA
2015,"MUNICIPIO","4122172",NA,0.64,NA,NA
2015,"MUNICIPIO","4122206",NA,0.679,NA,NA
2015,"MUNICIPIO","4122305",NA,0.76,NA,NA
2015,"MUNICIPIO","4122404",NA,0.739,NA,NA
2015,"MUNICIPIO","4122503",NA,0.681,NA,NA
2015,"MUNICIPIO","4122602",NA,0.713,NA,NA
2015,"MUNICIPIO","4122651",NA,0.662,NA,NA
2015,"MUNICIPIO","4122701",NA,0.74,NA,NA
2015,"MUNICIPIO","4122800",NA,0.7,NA,NA
2015,"MUNICIPIO","4122909",NA,0.704,NA,NA
2015,"MUNICIPIO","4123006",NA,0.718,NA,NA
2015,"MUNICIPIO","4123105",NA,0.653,NA,NA
2015,"MUNICIPIO","4123204",NA,0.723,NA,NA
2015,"MUNICIPIO","4123303",NA,0.71,NA,NA
2015,"MUNICIPIO","4123402",NA,0.705,NA,NA
2015,"MUNICIPIO","4123501",NA,0.744,NA,NA
2015,"MUNICIPIO","4123600",NA,0.717,NA,NA
2015,"MUNICIPIO","4123709",NA,0.72,NA,NA
2015,"MUNICIPIO","4123808",NA,0.696,NA,NA
2015,"MUNICIPIO","4123824",NA,0.687,NA,NA
2015,"MUNICIPIO","4123857",NA,0.609,NA,NA
2015,"MUNICIPIO","4123907",NA,0.7,NA,NA
2015,"MUNICIPIO","4123956",NA,0.704,NA,NA
2015,"MUNICIPIO","4124020",NA,0.705,NA,NA
2015,"MUNICIPIO","4124053",NA,0.738,NA,NA
2015,"MUNICIPIO","4124004",NA,0.687,NA,NA
2015,"MUNICIPIO","4124103",NA,0.718,NA,NA
2015,"MUNICIPIO","4124202",NA,0.696,NA,NA
2015,"MUNICIPIO","4124301",NA,0.716,NA,NA
2015,"MUNICIPIO","4124400",NA,0.671,NA,NA
2015,"MUNICIPIO","4124509",NA,0.739,NA,NA
2015,"MUNICIPIO","4124608",NA,0.682,NA,NA
2015,"MUNICIPIO","4124707",NA,0.637,NA,NA
2015,"MUNICIPIO","4124806",NA,0.727,NA,NA
2015,"MUNICIPIO","4124905",NA,0.664,NA,NA
2015,"MUNICIPIO","4125001",NA,0.693,NA,NA
2015,"MUNICIPIO","4125100",NA,0.629,NA,NA
2015,"MUNICIPIO","4125209",NA,0.722,NA,NA
2015,"MUNICIPIO","4125308",NA,0.743,NA,NA
2015,"MUNICIPIO","4125357",NA,0.676,NA,NA
2015,"MUNICIPIO","4125407",NA,0.671,NA,NA
2015,"MUNICIPIO","4125456",NA,0.713,NA,NA
2015,"MUNICIPIO","4125506",NA,0.758,NA,NA
2015,"MUNICIPIO","4125555",NA,0.725,NA,NA
2015,"MUNICIPIO","4125605",NA,0.719,NA,NA
2015,"MUNICIPIO","4125704",NA,0.704,NA,NA
2015,"MUNICIPIO","4125753",NA,0.683,NA,NA
2015,"MUNICIPIO","4125803",NA,0.717,NA,NA
2015,"MUNICIPIO","4125902",NA,0.704,NA,NA
2015,"MUNICIPIO","4126009",NA,0.715,NA,NA
2015,"MUNICIPIO","4126108",NA,0.725,NA,NA
2015,"MUNICIPIO","4126207",NA,0.655,NA,NA
2015,"MUNICIPIO","4126256",NA,0.695,NA,NA
2015,"MUNICIPIO","4126272",NA,0.699,NA,NA
2015,"MUNICIPIO","4126306",NA,0.663,NA,NA
2015,"MUNICIPIO","4126355",NA,0.762,NA,NA
2015,"MUNICIPIO","4126405",NA,0.725,NA,NA
2015,"MUNICIPIO","4126504",NA,0.723,NA,NA
2015,"MUNICIPIO","4126603",NA,0.704,NA,NA
2015,"MUNICIPIO","4126652",NA,0.693,NA,NA
2015,"MUNICIPIO","4126678",NA,0.621,NA,NA
2015,"MUNICIPIO","4126702",NA,0.731,NA,NA
2015,"MUNICIPIO","4126801",NA,0.703,NA,NA
2015,"MUNICIPIO","4126900",NA,0.697,NA,NA
2015,"MUNICIPIO","4127007",NA,0.671,NA,NA
2015,"MUNICIPIO","4127106",NA,0.734,NA,NA
2015,"MUNICIPIO","4127205",NA,0.728,NA,NA
2015,"MUNICIPIO","4127304",NA,0.71,NA,NA
2015,"MUNICIPIO","4127403",NA,0.714,NA,NA
2015,"MUNICIPIO","4127502",NA,0.664,NA,NA
2015,"MUNICIPIO","4127601",NA,0.636,NA,NA
2015,"MUNICIPIO","4127700",NA,0.768,NA,NA
2015,"MUNICIPIO","4127809",NA,0.699,NA,NA
2015,"MUNICIPIO","4127858",NA,0.681,NA,NA
2015,"MUNICIPIO","4127882",NA,0.611,NA,NA
2015,"MUNICIPIO","4127908",NA,0.695,NA,NA
2015,"MUNICIPIO","4127957",NA,0.73,NA,NA
2015,"MUNICIPIO","4127965",NA,0.672,NA,NA
2015,"MUNICIPIO","4128005",NA,0.739,NA,NA
2015,"MUNICIPIO","4128104",NA,0.761,NA,NA
2015,"MUNICIPIO","4128203",NA,0.74,NA,NA
2015,"MUNICIPIO","4128302",NA,0.72,NA,NA
2015,"MUNICIPIO","4128401",NA,0.721,NA,NA
2015,"MUNICIPIO","4128534",NA,0.65,NA,NA
2015,"MUNICIPIO","4128559",NA,0.699,NA,NA
2015,"MUNICIPIO","4128609",NA,0.72,NA,NA
2015,"MUNICIPIO","4128658",NA,0.722,NA,NA
2015,"MUNICIPIO","4128708",NA,0.702,NA,NA
2015,"MUNICIPIO","4128500",NA,0.687,NA,NA
2015,"MUNICIPIO","4128807",NA,0.706,NA,NA
